 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Vanilluxe          | 19.52830% | 7285   | 19.452% | 
 | 2    | Darmanitan-Galar   | 17.20200% | 5407   | 14.438% | 
 | 3    | Froslass           | 16.87465% | 3937   | 10.512% | 
 | 4    | Mamoswine          | 16.04243% | 5091   | 13.594% | 
 | 5    | Cloyster           |  5.65971% | 2704   |  7.220% | 
 | 6    | Abomasnow          |  5.51413% | 3574   |  9.543% | 
 | 7    | Lapras             |  3.50991% | 1153   |  3.079% | 
 | 8    | Rotom-Frost        |  2.39918% | 849    |  2.267% | 
 | 9    | Frosmoth           |  2.20946% | 1253   |  3.346% | 
 | 10   | Weavile            |  1.84857% | 1212   |  3.236% | 
 | 11   | Piloswine          |  1.63578% | 499    |  1.332% | 
 | 12   | Arctozolt          |  1.23927% | 464    |  1.239% | 
 | 13   | Eiscue             |  1.01169% | 1075   |  2.870% | 
 | 14   | Glalie             |  1.00005% | 398    |  1.063% | 
 | 15   | Sneasel            |  0.92861% | 49     |  0.131% | 
 | 16   | Mr. Mime-Galar     |  0.88832% | 377    |  1.007% | 
 | 17   | Avalugg            |  0.84738% | 494    |  1.319% | 
 | 18   | Mr. Rime           |  0.74341% | 716    |  1.912% | 
 | 19   | Arctovish          |  0.37962% | 219    |  0.585% | 
 | 20   | Delibird           |  0.21661% | 169    |  0.451% | 
 | 21   | Glaceon            |  0.20402% | 204    |  0.545% | 
 | 22   | Silvally-Ice       |  0.07169% | 200    |  0.534% | 
 | 23   | Beartic            |  0.04231% | 85     |  0.227% | 
 | 24   | Swinub             |  0.00182% | 4      |  0.011% | 
 | 25   | Snom               |  0.00101% | 28     |  0.075% | 
 | 26   | Darumaka-Galar     |  0.00004% | 2      |  0.005% | 
 | 27   | Snorunt            |  0.00001% | 3      |  0.008% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
