 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Obstagoon          | 15.07572% | 2887   | 15.076% | 
 | 2    | Heliolisk          | 12.78851% | 2449   | 12.789% | 
 | 3    | Diggersby          |  9.77023% | 1871   |  9.770% | 
 | 4    | Cinccino           |  8.73107% | 1672   |  8.731% | 
 | 5    | Indeedee           |  6.66841% | 1277   |  6.668% | 
 | 6    | Snorlax            |  6.33943% | 1214   |  6.339% | 
 | 7    | Dubwool            |  6.00000% | 1149   |  6.000% | 
 | 8    | Ditto              |  5.66057% | 1084   |  5.661% | 
 | 9    | Braviary           |  5.42559% | 1039   |  5.426% | 
 | 10   | Bewear             |  3.84334% | 736    |  3.843% | 
 | 11   | Drampa             |  3.10183% | 594    |  3.102% | 
 | 12   | Oranguru           |  2.97128% | 569    |  2.971% | 
 | 13   | Greedent           |  2.54308% | 487    |  2.543% | 
 | 14   | Indeedee-F         |  2.42298% | 464    |  2.423% | 
 | 15   | Unfezant           |  2.25065% | 431    |  2.251% | 
 | 16   | Persian            |  1.59269% | 305    |  1.593% | 
 | 17   | Silvally           |  1.51958% | 291    |  1.520% | 
 | 18   | Type: Null         |  1.41514% | 271    |  1.415% | 
 | 19   | Noctowl            |  0.71540% | 137    |  0.715% | 
 | 20   | Linoone-Galar      |  0.33420% | 64     |  0.334% | 
 | 21   | Bunnelby           |  0.27154% | 52     |  0.272% | 
 | 22   | Eevee              |  0.19843% | 38     |  0.198% | 
 | 23   | Meowth             |  0.16188% | 31     |  0.162% | 
 | 24   | Munchlax           |  0.09399% | 18     |  0.094% | 
 | 25   | Wooloo             |  0.05744% | 11     |  0.057% | 
 | 26   | Stufful            |  0.02611% | 5      |  0.026% | 
 | 27   | Rufflet            |  0.01044% | 2      |  0.010% | 
 | 28   | Tranquill          |  0.01044% | 2      |  0.010% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
