 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Salazzle           | 21.61837% | 2441   | 13.310% | 
 | 2    | Drapion            | 16.45746% | 2418   | 13.184% | 
 | 3    | Gengar             | 11.88962% | 1261   |  6.876% | 
 | 4    | Toxtricity         | 11.35704% | 2075   | 11.314% | 
 | 5    | Weezing-Galar      | 10.76024% | 2093   | 11.412% | 
 | 6    | Toxapex            |  8.39920% | 3145   | 17.148% | 
 | 7    | Roserade           |  7.73267% | 1650   |  8.997% | 
 | 8    | Vileplume          |  3.51419% | 487    |  2.655% | 
 | 9    | Toxicroak          |  3.29459% | 810    |  4.417% | 
 | 10   | Qwilfish           |  2.53638% | 922    |  5.027% | 
 | 11   | Silvally-Poison    |  0.90378% | 187    |  1.020% | 
 | 12   | Skuntank           |  0.66255% | 245    |  1.336% | 
 | 13   | Garbodor           |  0.56213% | 438    |  2.388% | 
 | 14   | Gloom              |  0.23298% | 37     |  0.202% | 
 | 15   | Haunter            |  0.05435% | 32     |  0.174% | 
 | 16   | Roselia            |  0.01325% | 37     |  0.202% | 
 | 17   | Koffing            |  0.00759% | 8      |  0.044% | 
 | 18   | Salandit           |  0.00170% | 4      |  0.022% | 
 | 19   | Skorupi            |  0.00169% | 1      |  0.005% | 
 | 20   | Trubbish           |  0.00021% | 11     |  0.060% | 
 | 21   | Toxel              |  0.00000% | 1      |  0.005% | 
 | 22   | Gastly             |  0.00000% | 36     |  0.196% | 
 | 23   | Mareanie           |  0.00000% | 1      |  0.005% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
