 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Bronzong           | 20.23892% | 2643   | 20.239% | 
 | 2    | Orbeetle           | 15.98132% | 2087   | 15.981% | 
 | 3    | Mew                |  7.60395% | 993    |  7.604% | 
 | 4    | Indeedee           |  7.22107% | 943    |  7.221% | 
 | 5    | Hatterene          |  6.20262% | 810    |  6.203% | 
 | 6    | Claydol            |  5.35263% | 699    |  5.353% | 
 | 7    | Gallade            |  4.77831% | 624    |  4.778% | 
 | 8    | Malamar            |  4.02787% | 526    |  4.028% | 
 | 9    | Espeon             |  3.88238% | 507    |  3.882% | 
 | 10   | Gardevoir          |  3.43824% | 449    |  3.438% | 
 | 11   | Indeedee-F         |  2.77203% | 362    |  2.772% | 
 | 12   | Rapidash-Galar     |  2.48871% | 325    |  2.489% | 
 | 13   | Xatu               |  2.11348% | 276    |  2.113% | 
 | 14   | Reuniclus          |  1.92205% | 251    |  1.922% | 
 | 15   | Mr. Rime           |  1.69232% | 221    |  1.692% | 
 | 16   | Swoobat            |  1.56214% | 204    |  1.562% | 
 | 17   | Sigilyph           |  1.37070% | 179    |  1.371% | 
 | 18   | Mr. Mime-Galar     |  1.26350% | 165    |  1.263% | 
 | 19   | Oranguru           |  0.96485% | 126    |  0.965% | 
 | 20   | Solrock            |  0.87296% | 114    |  0.873% | 
 | 21   | Wobbuffet          |  0.71215% | 93     |  0.712% | 
 | 22   | Gothitelle         |  0.64323% | 84     |  0.643% | 
 | 23   | Meowstic           |  0.58197% | 76     |  0.582% | 
 | 24   | Musharna           |  0.49008% | 64     |  0.490% | 
 | 25   | Beheeyem           |  0.42117% | 55     |  0.421% | 
 | 26   | Silvally-Psychic   |  0.28333% | 37     |  0.283% | 
 | 27   | Dottler            |  0.25270% | 33     |  0.253% | 
 | 28   | Lunatone           |  0.22207% | 29     |  0.222% | 
 | 29   | Mr. Mime           |  0.18378% | 24     |  0.184% | 
 | 30   | Baltoy             |  0.12252% | 16     |  0.123% | 
 | 31   | Hattrem            |  0.10721% | 14     |  0.107% | 
 | 32   | Duosion            |  0.07658% | 10     |  0.077% | 
 | 33   | Kirlia             |  0.05360% | 7      |  0.054% | 
 | 34   | Elgyem             |  0.03829% | 5      |  0.038% | 
 | 35   | Solosis            |  0.02297% | 3      |  0.023% | 
 | 36   | Ralts              |  0.02297% | 3      |  0.023% | 
 | 37   | Bronzor            |  0.01532% | 2      |  0.015% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
