 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Shuckle            | 58.10499% | 2258   | 42.692% | 
 | 2    | Gigalith           |  8.92910% | 474    |  8.962% | 
 | 3    | Coalossal          |  7.23917% | 370    |  6.996% | 
 | 4    | Tyranitar          |  7.03066% | 620    | 11.722% | 
 | 5    | Crustle            |  3.28440% | 328    |  6.202% | 
 | 6    | Drednaw            |  3.28019% | 138    |  2.609% | 
 | 7    | Silvally-Rock      |  2.77854% | 75     |  1.418% | 
 | 8    | Stonjourner        |  2.58461% | 160    |  3.025% | 
 | 9    | Barbaracle         |  2.22620% | 145    |  2.742% | 
 | 10   | Lunatone           |  1.92233% | 151    |  2.855% | 
 | 11   | Solrock            |  0.95363% | 216    |  4.084% | 
 | 12   | Rhyperior          |  0.94426% | 145    |  2.742% | 
 | 13   | Rhydon             |  0.27266% | 37     |  0.700% | 
 | 14   | Onix               |  0.22473% | 85     |  1.607% | 
 | 15   | Carkol             |  0.12373% | 10     |  0.189% | 
 | 16   | Sudowoodo          |  0.09834% | 55     |  1.040% | 
 | 17   | Boldore            |  0.00239% | 2      |  0.038% | 
 | 18   | Pupitar            |  0.00008% | 11     |  0.208% | 
 | 19   | Bonsly             |  0.00000% | 1      |  0.019% | 
 | 20   | Dwebble            |  0.00000% | 4      |  0.076% | 
 | 21   | Rolycoly           |  0.00000% | 4      |  0.076% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
