 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Ferrothorn         | 25.11565% | 7438   | 25.116% | 
 | 2    | Duraludon          | 14.74928% | 4368   | 14.749% | 
 | 3    | Excadrill          | 13.00017% | 3850   | 13.000% | 
 | 4    | Bronzong           |  8.34374% | 2471   |  8.344% | 
 | 5    | Corviknight        |  5.59851% | 1658   |  5.599% | 
 | 6    | Copperajah         |  5.38241% | 1594   |  5.382% | 
 | 7    | Aegislash          |  5.38241% | 1594   |  5.382% | 
 | 8    | Lucario            |  4.31200% | 1277   |  4.312% | 
 | 9    | Bisharp            |  3.92031% | 1161   |  3.920% | 
 | 10   | Durant             |  2.89380% | 857    |  2.894% | 
 | 11   | Steelix            |  2.66081% | 788    |  2.661% | 
 | 12   | Perrserker         |  1.83353% | 543    |  1.834% | 
 | 13   | Togedemaru         |  1.83353% | 543    |  1.834% | 
 | 14   | Klinklang          |  1.17846% | 349    |  1.178% | 
 | 15   | Silvally-Steel     |  1.06365% | 315    |  1.064% | 
 | 16   | Stunfisk-Galar     |  1.05014% | 311    |  1.050% | 
 | 17   | Escavalier         |  0.52676% | 156    |  0.527% | 
 | 18   | Doublade           |  0.48286% | 143    |  0.483% | 
 | 19   | Mawile             |  0.47611% | 141    |  0.476% | 
 | 20   | Bronzor            |  0.07091% | 21     |  0.071% | 
 | 21   | Klang              |  0.05740% | 17     |  0.057% | 
 | 22   | Ferroseed          |  0.03039% | 9      |  0.030% | 
 | 23   | Meowth-Galar       |  0.02364% | 7      |  0.024% | 
 | 24   | Pawniard           |  0.00675% | 2      |  0.007% | 
 | 25   | Cufant             |  0.00675% | 2      |  0.007% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
