 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Pelipper           | 37.41655% | 17710  | 37.417% | 
 | 2    | Araquanid          |  8.41925% | 3985   |  8.419% | 
 | 3    | Seismitoad         |  8.30728% | 3932   |  8.307% | 
 | 4    | Rotom-Wash         |  7.85093% | 3716   |  7.851% | 
 | 5    | Toxapex            |  7.00583% | 3316   |  7.006% | 
 | 6    | Dracovish          |  6.20299% | 2936   |  6.203% | 
 | 7    | Cloyster           |  4.73041% | 2239   |  4.730% | 
 | 8    | Barraskewda        |  2.76768% | 1310   |  2.768% | 
 | 9    | Gyarados           |  2.25851% | 1069   |  2.259% | 
 | 10   | Inteleon           |  1.87188% | 886    |  1.872% | 
 | 11   | Cramorant          |  1.45145% | 687    |  1.451% | 
 | 12   | Drednaw            |  1.29088% | 611    |  1.291% | 
 | 13   | Crawdaunt          |  1.25496% | 594    |  1.255% | 
 | 14   | Lapras             |  1.00355% | 475    |  1.004% | 
 | 15   | Ludicolo           |  0.91481% | 433    |  0.915% | 
 | 16   | Lanturn            |  0.72467% | 343    |  0.725% | 
 | 17   | Qwilfish           |  0.68030% | 322    |  0.680% | 
 | 18   | Golisopod          |  0.62537% | 296    |  0.625% | 
 | 19   | Pyukumuku          |  0.56410% | 267    |  0.564% | 
 | 20   | Gastrodon          |  0.55776% | 264    |  0.558% | 
 | 21   | Quagsire           |  0.53241% | 252    |  0.532% | 
 | 22   | Octillery          |  0.50283% | 238    |  0.503% | 
 | 23   | Barbaracle         |  0.49438% | 234    |  0.494% | 
 | 24   | Kingler            |  0.47959% | 227    |  0.480% | 
 | 25   | Jellicent          |  0.38452% | 182    |  0.385% | 
 | 26   | Milotic            |  0.33170% | 157    |  0.332% | 
 | 27   | Vaporeon           |  0.25564% | 121    |  0.256% | 
 | 28   | Silvally-Water     |  0.22395% | 106    |  0.224% | 
 | 29   | Mantine            |  0.19437% | 92     |  0.194% | 
 | 30   | Arctovish          |  0.16691% | 79     |  0.167% | 
 | 31   | Whiscash           |  0.11831% | 56     |  0.118% | 
 | 32   | Wailord            |  0.08873% | 42     |  0.089% | 
 | 33   | Wishiwashi         |  0.06972% | 33     |  0.070% | 
 | 34   | Basculin           |  0.04225% | 20     |  0.042% | 
 | 35   | Seaking            |  0.03592% | 17     |  0.036% | 
 | 36   | Arrokuda           |  0.03169% | 15     |  0.032% | 
 | 37   | Magikarp           |  0.02958% | 14     |  0.030% | 
 | 38   | Mareanie           |  0.02324% | 11     |  0.023% | 
 | 39   | Wimpod             |  0.01901% | 9      |  0.019% | 
 | 40   | Palpitoad          |  0.01690% | 8      |  0.017% | 
 | 41   | Lombre             |  0.01479% | 7      |  0.015% | 
 | 42   | Dewpider           |  0.01268% | 6      |  0.013% | 
 | 43   | Frillish           |  0.00845% | 4      |  0.008% | 
 | 44   | Remoraid           |  0.00423% | 2      |  0.004% | 
 | 45   | Wooper             |  0.00423% | 2      |  0.004% | 
 | 46   | Feebas             |  0.00423% | 2      |  0.004% | 
 | 47   | Sobble             |  0.00211% | 1      |  0.002% | 
 | 48   | Goldeen            |  0.00211% | 1      |  0.002% | 
 | 49   | Chinchou           |  0.00211% | 1      |  0.002% | 
 | 50   | Mantyke            |  0.00211% | 1      |  0.002% | 
 | 51   | Drizzile           |  0.00211% | 1      |  0.002% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
